date,ffpi_food,ffpi_cereals,ffpi_veg_oils,ffpi_dairy,ffpi_meat,ffpi_sugar,bdi_price,gat_land_ocean,gat_land,gat_ocean,ffpi_energy_consumption,energy_imported,ffpi_usd_hkd_rate,usd_hkd_rate,ipi_food,rs_dairy_products,rs_fresh,wpm_fish,flag_iqr_outlier,flag_negative_values
2018-01-01,96.7,95.2,98.25,106.0,95.3,87.2,1152.0,0.84,1.44,0.58,,,7.821,7.8,86.8,1957.0,961.0,36.3,False,False
2018-02-01,97.8,98.4,95.6,108.8,96.6,83.9,1192.0,0.89,1.62,0.57,,,7.83,7.8,87.1,2058.0,931.0,38.21,False,False
2018-03-01,98.8,101.8,95.36,111.3,96.6,80.9,1055.0,0.88,1.49,0.6,,,7.849,7.8,86.8,1867.0,925.0,35.25,False,False
2018-04-01,98.4,104.0,94.02,110.0,95.4,76.8,1341.0,0.91,1.46,0.66,,,7.85,7.8,86.8,1781.0,933.0,33.06,False,False
2018-05-01,98.5,105.5,92.15,111.4,94.9,76.4,1090.0,0.84,1.24,0.66,,,7.849,7.8,86.7,1992.0,1006.0,35.0,False,False
2018-06-01,96.8,100.8,89.33,112.3,94.7,77.4,1385.0,0.8,1.15,0.65,,,7.846,7.8,87.2,1934.0,995.0,38.48,False,False
2018-07-01,95.0,98.7,86.9,110.1,94.3,72.5,1747.0,0.85,1.25,0.67,,,7.85,7.8,87.9,1962.0,1010.0,38.98,False,False
2018-08-01,95.8,103.5,84.43,108.5,95.4,68.6,1579.0,0.82,1.17,0.67,,,7.85,7.8,87.7,2004.0,1037.0,39.91,False,False
2018-09-01,94.0,100.3,82.33,108.3,93.4,70.4,1540.0,0.83,1.14,0.69,,,7.828,7.8,87.5,2048.0,1059.0,39.3,False,False
2018-10-01,93.2,100.9,81.33,102.8,91.9,76.5,1490.0,1.02,1.67,0.73,,,7.847,7.8,87.0,1946.0,992.0,38.92,False,False
2018-11-01,91.9,99.6,76.59,100.0,92.1,79.9,1231.0,0.85,1.15,0.72,,,7.822,7.8,87.3,1829.0,928.0,38.58,False,False
2018-12-01,92.0,101.1,76.84,97.8,92.3,78.3,1271.0,0.95,1.45,0.72,,,7.834,7.8,87.7,1926.0,965.0,37.88,False,False
2019-01-01,93.1,101.8,80.26,100.9,91.6,79.3,668.0,0.93,1.47,0.69,,,7.847,7.8,87.7,2226.0,957.0,36.93,True,False
2019-02-01,93.8,100.7,81.78,103.8,92.5,80.3,658.0,0.92,1.37,0.71,,,7.851,7.8,88.1,1911.0,900.0,38.18,False,False
2019-03-01,93.0,97.5,78.41,105.6,94.0,78.7,689.0,1.15,2.12,0.71,,,7.849,7.8,87.8,1920.0,1000.0,37.02,False,False
2019-04-01,93.5,94.6,79.11,106.1,97.3,79.3,1011.0,1.05,1.75,0.73,,,7.847,7.8,87.7,1814.0,939.0,36.58,False,False
2019-05-01,94.2,94.4,78.5,106.6,100.2,76.7,1096.0,0.91,1.32,0.73,,,7.847,7.8,87.9,1919.0,1022.0,39.5,False,False
2019-06-01,95.4,99.2,77.46,102.9,101.2,79.9,1354.0,0.92,1.21,0.79,,,7.812,7.8,88.0,1964.0,1025.0,39.54,False,False
2019-07-01,95.1,97.6,78.09,101.1,102.3,79.4,1868.0,0.93,1.21,0.8,,,7.827,7.8,88.7,1985.0,1031.0,39.54,False,False
2019-08-01,93.8,92.6,82.59,100.3,101.6,76.2,2378.0,0.94,1.28,0.79,,,7.841,7.8,88.7,2010.0,1132.0,38.57,False,False
2019-09-01,93.2,91.8,83.89,99.6,100.6,73.5,1823.0,0.95,1.44,0.73,,,7.842,7.8,88.3,1922.0,1087.0,37.06,False,False
2019-10-01,95.0,96.0,84.11,100.8,100.9,77.8,1731.0,1.02,1.68,0.73,,,7.838,7.8,88.5,1942.0,1030.0,37.29,False,False
2019-11-01,98.2,95.6,93.16,102.5,105.4,79.2,1528.0,0.99,1.54,0.74,,,7.828,7.8,89.1,1852.0,1024.0,38.49,False,False
2019-12-01,100.8,97.4,101.5,103.5,106.0,83.0,1090.0,1.12,1.95,0.75,,,7.787,7.8,89.2,1846.0,963.0,37.24,False,False
2020-01-01,102.5,100.7,108.73,103.8,103.5,87.5,487.0,1.16,1.98,0.8,,,7.77,7.8,88.8,2439.0,1096.0,34.62,True,False
2020-02-01,99.6,99.6,97.55,102.8,101.0,91.4,535.0,1.21,2.19,0.78,,,7.793,7.8,88.8,1954.0,1205.0,33.99,False,False
2020-03-01,95.2,98.0,85.42,101.6,99.5,73.9,626.0,1.14,1.9,0.8,,,7.755,7.8,88.9,2091.0,1416.0,33.74,True,False
2020-04-01,92.4,99.6,81.18,95.9,96.5,63.2,635.0,1.14,1.87,0.81,,,7.751,7.8,89.4,1982.0,1247.0,32.04,False,False
2020-05-01,91.2,98.0,77.77,94.5,95.4,67.8,504.0,1.0,1.53,0.76,,,7.753,7.8,89.4,1926.0,1194.0,32.5,False,False
2020-06-01,93.1,97.3,86.61,98.3,94.5,74.9,1799.0,0.94,1.34,0.76,,,7.752,7.8,89.2,1905.0,1150.0,32.39,False,False
2020-07-01,93.8,97.3,93.2,101.8,91.4,76.0,1350.0,0.92,1.26,0.76,,,7.752,7.8,88.9,2390.0,1368.0,32.5,True,False
2020-08-01,95.7,99.2,98.7,102.1,91.4,81.1,1488.0,0.91,1.25,0.76,,,7.752,7.8,89.4,2058.0,1389.0,36.22,True,False
2020-09-01,97.9,104.3,104.6,102.3,91.2,79.0,1725.0,1.0,1.69,0.69,,,7.752,7.8,89.0,1818.0,1216.0,35.54,False,False
2020-10-01,101.3,112.1,106.45,104.5,91.6,84.7,1283.0,0.91,1.52,0.64,,,7.752,7.8,88.9,1778.0,1115.0,34.64,False,False
2020-11-01,105.5,114.8,121.9,105.4,93.1,87.5,1227.0,1.07,2.11,0.61,,,7.752,7.8,89.5,1707.0,1052.0,34.43,False,False
2020-12-01,108.5,116.4,131.2,108.7,94.7,87.1,1366.0,0.83,1.45,0.55,,,7.753,7.8,89.3,1900.0,1221.0,34.85,False,False
2021-01-01,113.5,125.0,138.87,111.1,95.9,94.2,1452.0,0.83,1.49,0.54,,,7.753,7.8,89.6,1885.0,1121.0,34.68,False,False
2021-02-01,116.5,126.1,147.46,112.8,97.7,100.2,1675.0,0.65,0.91,0.54,,,7.757,7.8,89.5,1838.0,1035.0,35.08,False,False
2021-03-01,119.1,123.9,159.3,117.2,100.5,96.2,2046.0,0.89,1.59,0.57,,,7.775,7.8,89.6,1683.0,1014.0,34.31,False,False
2021-04-01,122.1,126.2,162.19,119.0,104.4,100.0,3053.0,0.8,1.27,0.59,,,7.766,7.8,90.6,1666.0,973.0,33.88,False,False
2021-05-01,128.4,133.7,174.9,121.2,108.1,106.8,2596.0,0.82,1.26,0.62,,,7.762,7.8,91.2,1835.0,1094.0,34.11,False,False
2021-06-01,125.4,130.3,157.7,120.1,110.9,107.7,3383.0,0.85,1.24,0.67,,,7.767,7.8,91.3,1703.0,1041.0,34.95,True,False
2021-07-01,124.4,126.3,155.5,117.2,113.3,109.6,3292.0,0.91,1.34,0.72,,,7.773,7.8,90.6,1769.0,1078.0,33.16,True,False
2021-08-01,128.0,130.4,165.9,117.2,113.1,120.5,4132.0,0.88,1.32,0.69,,,7.783,7.8,91.4,1934.0,1188.0,32.2,True,False
2021-09-01,129.1,132.8,168.6,119.2,112.1,121.2,5167.0,0.94,1.51,0.68,,,7.789,7.8,93.3,1759.0,1036.0,30.1,True,False
2021-10-01,133.3,137.1,184.8,122.6,111.6,119.1,3519.0,0.99,1.73,0.66,,,7.779,7.8,92.7,1839.0,1092.0,29.46,True,False
2021-11-01,135.4,141.4,184.6,127.2,112.4,120.2,3018.0,0.94,1.56,0.66,,,7.802,7.8,93.7,1701.0,942.0,28.96,False,False
2021-12-01,133.7,140.5,178.5,130.4,110.5,116.4,2217.0,0.9,1.53,0.62,,,7.798,7.8,94.6,1802.0,995.0,28.82,False,False
2022-01-01,135.7,140.6,185.9,134.3,111.7,112.7,1418.0,0.92,1.52,0.66,,,7.798,7.8,95.3,2207.0,1134.0,28.92,False,False
2022-02-01,141.7,145.3,201.7,145.0,113.7,110.5,2040.0,0.9,1.49,0.64,,,7.814,7.8,95.2,1905.0,1170.0,30.11,False,False
2022-03-01,160.2,170.1,251.8,149.6,119.3,117.9,2358.0,1.07,2.02,0.64,,,7.831,7.8,95.8,1768.0,1086.0,30.48,False,False
2022-04-01,158.8,169.7,237.5,150.7,121.3,121.5,2404.0,0.89,1.46,0.63,,,7.847,7.8,95.0,1684.0,1012.0,30.38,False,False
2022-05-01,158.7,173.5,229.2,149.7,122.5,120.4,2566.0,0.83,1.24,0.65,,,7.849,7.8,96.4,1677.0,1004.0,30.51,True,False
2022-06-01,155.7,166.3,211.8,158.2,125.4,117.3,2240.0,0.93,1.42,0.71,,,7.847,7.8,96.1,1729.0,1002.0,30.53,False,False
2022-07-01,141.6,147.3,168.8,155.6,123.3,112.8,1895.0,0.91,1.39,0.7,,,7.851,7.8,96.5,1807.0,1102.0,29.43,False,False
2022-08-01,138.7,145.6,163.3,153.1,120.3,110.5,965.0,0.93,1.37,0.73,,,7.848,7.8,96.9,1815.0,1126.0,28.75,False,False
2022-09-01,137.3,147.9,152.6,152.8,119.9,109.7,1760.0,0.88,1.28,0.71,,,7.851,7.8,97.2,1749.0,1043.0,27.66,False,False
2022-10-01,136.7,152.3,151.3,149.2,116.5,108.6,1463.0,0.96,1.62,0.66,,,7.85,7.8,97.5,1782.0,1034.0,28.96,False,False
2022-11-01,136.0,150.1,154.7,147.4,114.1,114.4,1355.0,0.75,0.96,0.66,,,7.804,7.8,98.2,1692.0,986.0,29.89,False,False
2022-12-01,133.1,147.3,144.6,148.6,111.9,117.2,1515.0,0.82,1.17,0.67,,,7.808,7.8,99.0,1799.0,980.0,30.0,False,False
2023-01-01,131.4,147.5,140.4,144.7,110.5,116.8,681.0,0.89,1.4,0.67,,,7.839,7.8,98.2,2049.0,978.0,41.3,False,False
2023-02-01,130.7,146.7,135.9,138.7,112.1,125.2,990.0,1.02,1.75,0.7,,,7.849,7.8,99.0,1493.0,851.0,45.42,True,False
2023-03-01,128.0,138.6,131.8,135.3,114.1,127.0,1389.0,1.22,2.19,0.79,,,7.852,7.8,99.3,1664.0,904.0,45.52,False,False
2023-04-01,128.4,136.1,130.0,129.3,116.0,149.4,1576.0,0.99,1.31,0.85,,,7.85,7.8,99.9,1627.0,867.0,45.01,False,False
2023-05-01,124.5,129.3,118.7,121.7,117.4,157.2,977.0,0.97,1.25,0.85,,,7.834,7.8,100.2,1747.0,959.0,46.05,False,False
2023-06-01,123.0,126.6,115.8,119.9,118.6,152.2,1091.0,1.08,1.42,0.93,,,7.836,7.8,99.8,1716.0,926.0,46.57,False,False
2023-07-01,124.4,125.9,129.8,119.1,117.9,146.3,1127.0,1.19,1.59,1.01,,,7.802,7.8,99.8,1847.0,993.0,47.33,False,False
2023-08-01,121.8,125.0,125.8,114.3,114.5,148.2,1086.0,1.27,1.78,1.04,,,7.847,7.8,100.5,1876.0,1036.0,46.96,False,False
2023-09-01,121.7,126.3,120.9,112.0,113.4,162.7,1701.0,1.44,2.33,1.04,,,7.83,7.8,100.5,1763.0,978.0,45.66,False,False
2023-10-01,120.7,124.8,120.0,114.6,112.0,159.2,1459.0,1.37,2.17,1.01,,,7.825,7.8,100.7,1761.0,936.0,46.01,False,False
2023-11-01,120.6,121.0,124.1,116.5,111.6,161.4,2937.0,1.43,2.38,1.0,,,7.808,7.8,100.8,1618.0,897.0,45.82,False,False
2023-12-01,119.1,122.8,122.3,118.7,111.2,134.2,2094.0,1.39,2.24,1.01,,,7.811,7.8,101.4,1696.0,883.0,45.66,False,False
2024-01-01,117.6,119.9,122.5,118.7,108.9,136.4,1398.0,1.31,1.92,1.03,,,7.819,7.8,101.0,1860.0,872.0,45.89667,False,False
2024-02-01,117.4,113.8,120.9,120.7,112.5,140.8,2111.0,1.41,2.24,1.04,,,7.828,7.8,100.2,1887.0,855.0,47.23,False,False
2024-03-01,118.9,110.9,130.6,124.0,114.9,133.4,1821.0,1.34,2.11,1.0,,,7.825,7.8,100.0,1663.0,846.0,47.09286,False,False
2024-04-01,119.2,111.6,130.9,123.8,116.6,126.6,1685.0,1.28,1.89,1.01,,,7.824,7.8,99.9,1636.0,832.0,46.85,False,False
2024-05-01,120.5,118.7,127.8,126.3,116.7,117.1,1815.0,1.18,1.63,0.98,,,7.819,7.8,99.5,1812.0,920.0,49.03846,False,False
2024-06-01,121.0,115.2,131.8,127.9,118.1,119.4,2050.0,1.22,1.74,0.98,,,7.81,7.8,99.7,1788.0,928.0,49.83704,False,False
2024-07-01,120.9,110.7,135.0,127.8,120.0,119.5,1708.0,1.22,1.73,0.99,,,7.813,7.8,99.6,1868.0,1015.0,50.30741,False,False
2024-08-01,121.7,110.2,136.1,131.3,122.0,113.9,1814.0,1.27,1.94,0.96,,,7.799,7.8,99.9,1894.0,980.0,50.1069,False,False
2024-09-01,124.6,113.6,142.4,136.5,119.9,126.3,2084.0,1.26,1.91,0.96,,,7.77,7.8,99.6,1858.0,994.0,49.4,False,False
2024-10-01,126.9,114.4,152.7,138.6,119.2,129.6,1388.0,1.34,2.23,0.94,,,7.773,7.8,99.6,1855.0,949.0,49.25517,False,False
2024-11-01,127.7,111.4,164.1,139.8,118.7,126.4,1354.0,1.34,2.29,0.91,,,7.784,7.8,99.7,1796.0,941.0,50.48621,False,False
2024-12-01,127.3,111.4,162.1,141.2,119.6,119.3,997.0,1.3,2.24,0.88,,,7.764,7.8,100.4,1815.0,839.0,50.97143,False,False
2025-01-01,124.7,111.8,153.0,143.1,116.7,111.2,735.0,1.35,2.3,0.92,,,7.791,7.8,100.3,2103.0,879.0,52.70364,False,False
2025-02-01,126.6,112.6,156.0,147.7,116.9,118.5,1229.0,1.26,2.08,0.89,,,7.78,7.8,99.5,1655.0,790.0,53.48182,False,False
2025-03-01,127.2,109.7,161.8,148.7,118.3,116.9,1598.0,1.35,2.34,0.9,,,7.78,7.8,99.6,1890.0,880.0,53.20667,False,False
2025-04-01,128.2,110.9,158.0,151.7,121.6,112.3,1386.0,1.22,2.0,0.87,,,7.757,7.8,100.0,1731.0,818.0,53.6375,False,False
2025-05-01,127.1,109.0,152.2,153.6,122.8,109.4,1418.0,1.1,1.61,0.88,,,7.844,7.8,100.5,1904.0,931.0,55.68205,False,False
2025-06-01,128.1,107.3,155.7,155.5,126.0,103.6,1489.0,1.0,1.28,0.88,,,7.852,7.8,100.5,1882.0,915.0,56.528,False,False
2025-07-01,129.8,106.5,166.8,154.6,126.7,103.3,2003.0,1.0,1.19,0.92,,,7.852,7.8,100.9,1988.0,968.0,56.73483,False,False
2025-08-01,129.8,105.7,169.1,152.3,127.0,103.6,2025.0,1.07,1.41,0.91,,,7.797,7.8,100.6,1995.0,960.0,56.775,False,False
2025-09-01,128.5,104.9,167.9,147.2,127.5,99.4,2134.0,,,,,,7.782,7.8,99.5,1988.0,1013.0,53.54712,False,False
2025-10-01,126.4,103.6,169.4,142.2,125.0,94.1,1966.0,,,,,,7.771,7.8,,,,,False,False
2025-11-01,,,,,,,2072.0,,,,,,7.771,7.8,,,,,False,False
,,,,,,,,,,,,,,7.8,,,,,False,False
